iter	Passed	Remaining
558	6352	5011
559	6364	5000
560	6375	4989
561	6386	4977
562	6397	4965
563	6409	4954
564	6420	4943
565	6432	4932
566	6444	4921
567	6455	4909
568	6466	4898
569	6477	4886
570	6487	4874
571	6499	4863
572	6509	4850
573	6519	4838
574	6529	4826
575	6539	4814
576	6550	4801
577	6563	4791
578	6573	4779
579	6582	4766
580	6594	4755
581	6604	4743
582	6615	4731
583	6625	4719
584	6636	4707
585	6647	4696
586	6660	4685
587	6670	4674
588	6681	4662
589	6691	4649
590	6701	4637
591	6712	4625
592	6723	4614
593	6732	4601
594	6742	4589
595	6754	4578
596	6764	4566
597	6773	4553
598	6783	4541
599	6794	4529
600	6804	4517
601	6816	4506
602	6827	4494
603	6838	4483
604	6848	4471
605	6858	4459
606	6869	4447
607	6879	4435
608	6889	4423
609	6900	4412
610	6912	4401
611	6923	4389
612	6934	4377
613	6944	4366
614	6955	4354
615	6965	4342
616	6975	4330
617	6985	4318
618	6996	4306
619	7005	4293
620	7015	4281
621	7025	4269
622	7034	4257
623	7044	4244
624	7055	4233
625	7067	4222
626	7079	4211
627	7088	4199
628	7099	4187
629	7110	4176
630	7121	4164
631	7131	4152
632	7142	4140
633	7152	4128
634	7163	4117
635	7172	4105
636	7183	4093
637	7193	4081
638	7203	4069
639	7215	4058
640	7226	4047
641	7237	4036
642	7248	4024
643	7258	4012
644	7268	4000
645	7278	3988
646	7289	3977
647	7298	3964
648	7307	3952
649	7317	3940
650	7327	3928
651	7339	3917
652	7349	3905
653	7359	3893
654	7371	3882
655	7384	3872
656	7395	3860
657	7405	3849
658	7416	3837
659	7426	3825
660	7437	3814
661	7447	3802
662	7457	3790
663	7468	3779
664	7478	3767
665	7489	3755
666	7499	3744
667	7510	3732
668	7521	3721
669	7533	3710
670	7545	3699
671	7556	3688
672	7566	3676
673	7576	3664
674	7587	3653
675	7598	3641
676	7608	3630
677	7619	3618
678	7629	3607
679	7639	3595
680	7650	3583
681	7660	3572
682	7671	3560
683	7682	3549
684	7694	3538
685	7704	3526
686	7715	3515
687	7725	3503
688	7736	3492
689	7746	3480
690	7756	3468
691	7765	3456
692	7777	3445
693	7787	3433
694	7797	3422
695	7807	3409
696	7816	3398
697	7826	3386
698	7837	3375
699	7848	3363
700	7860	3352
701	7871	3341
702	7883	3330
703	7894	3319
704	7906	3308
705	7918	3297
706	7930	3286
707	7941	3275
708	7953	3264
709	7963	3252
710	7979	3243
711	7990	3231
712	8001	3220
713	8012	3209
714	8022	3197
715	8032	3186
716	8044	3175
717	8056	3164
718	8068	3153
719	8079	3142
720	8091	3131
721	8102	3119
722	8114	3108
723	8124	3097
724	8136	3086
725	8148	3075
726	8159	3064
727	8171	3053
728	8182	3041
729	8193	3030
730	8203	3018
731	8214	3007
732	8226	2996
733	8237	2985
734	8247	2973
735	8258	2962
736	8271	2951
737	8283	2940
738	8295	2929
739	8307	2918
740	8317	2907
741	8328	2895
742	8339	2884
743	8350	2873
744	8360	2861
745	8371	2850
746	8383	2839
747	8393	2827
748	8404	2816
749	8415	2805
750	8425	2793
751	8435	2781
752	8445	2770
753	8456	2758
754	8467	2747
755	8477	2736
756	8488	2724
757	8498	2713
758	8509	2701
759	8519	2690
760	8532	2679
761	8544	2668
762	8556	2657
763	8567	2646
764	8578	2635
765	8588	2623
766	8599	2612
767	8609	2600
768	8619	2589
769	8630	2577
770	8641	2566
771	8650	2554
772	8660	2543
773	8670	2531
774	8681	2520
775	8693	2509
776	8703	2498
777	8714	2486
778	8724	2475
779	8735	2463
780	8745	2452
781	8756	2440
782	8766	2429
783	8775	2417
784	8785	2406
785	8795	2394
786	8805	2383
787	8815	2371
788	8825	2360
789	8835	2348
790	8847	2337
791	8859	2326
792	8871	2315
793	8881	2304
794	8891	2292
795	8903	2281
796	8914	2270
797	8924	2259
798	8936	2248
799	8947	2236
800	8958	2225
801	8969	2214
802	8980	2203
803	8992	2192
804	9005	2181
805	9017	2170
806	9030	2159
807	9042	2148
808	9053	2137
809	9066	2126
810	9077	2115
811	9088	2104
812	9098	2092
813	9109	2081
814	9121	2070
815	9132	2059
816	9143	2048
817	9155	2037
818	9168	2026
819	9180	2015
820	9192	2004
821	9203	1992
822	9214	1981
823	9224	1970
824	9235	1958
825	9245	1947
826	9256	1936
827	9267	1925
828	9278	1913
829	9290	1902
830	9300	1891
831	9312	1880
832	9324	1869
833	9335	1858
834	9345	1846
835	9356	1835
836	9366	1824
837	9377	1812
838	9387	1801
839	9397	1790
840	9408	1778
841	9418	1767
842	9428	1755
843	9438	1744
844	9449	1733
845	9459	1721
846	9472	1711
847	9484	1700
848	9495	1688
849	9506	1677
850	9516	1666
851	9528	1655
852	9539	1644
853	9552	1633
854	9566	1622
855	9578	1611
856	9592	1600
857	9605	1589
858	9618	1578
859	9633	1568
860	9647	1557
861	9662	1546
862	9676	1536
863	9691	1525
864	9703	1514
865	9716	1503
866	9728	1492
867	9739	1481
868	9750	1469
869	9761	1458
870	9772	1447
871	9783	1436
872	9795	1425
873	9806	1413
874	9817	1402
875	9827	1391
876	9837	1379
877	9850	1368
878	9862	1357
879	9873	1346
880	9884	1335
881	9895	1323
882	9907	1312
883	9918	1301
884	9928	1290
885	9940	1278
886	9951	1267
887	9962	1256
888	9972	1245
889	9983	1233
890	9995	1222
891	10004	1211
892	10016	1200
893	10028	1189
894	10039	1177
895	10049	1166
896	10059	1155
897	10069	1143
898	10080	1132
899	10090	1121
900	10101	1109
901	10111	1098
902	10121	1087
903	10132	1076
904	10142	1064
905	10152	1053
906	10163	1042
907	10175	1031
908	10186	1019
909	10196	1008
910	10206	997
911	10216	985
912	10227	974
913	10236	963
914	10247	951
915	10258	940
916	10269	929
917	10280	918
918	10290	906
919	10300	895
920	10310	884
921	10321	873
922	10333	862
923	10344	850
924	10355	839
925	10366	828
926	10377	817
927	10387	805
928	10397	794
929	10407	783
930	10418	772
931	10429	760
932	10441	749
933	10453	738
934	10464	727
935	10476	716
936	10488	705
937	10500	694
938	10511	682
939	10522	671
940	10534	660
941	10544	649
942	10555	638
943	10566	626
944	10577	615
945	10589	604
946	10600	593
947	10610	582
948	10621	570
949	10632	559
950	10644	548
951	10656	537
952	10667	526
953	10680	514
954	10692	503
955	10702	492
956	10714	481
957	10725	470
958	10736	459
959	10747	447
960	10758	436
961	10769	425
962	10779	414
963	10791	403
964	10804	391
965	10816	380
966	10827	369
967	10839	358
968	10850	347
969	10861	335
970	10872	324
971	10884	313
972	10894	302
973	10905	291
974	10916	279
975	10927	268
976	10937	257
977	10950	246
978	10962	235
979	10973	223
980	10984	212
981	10995	201
982	11005	190
983	11016	179
984	11028	167
985	11040	156
986	11051	145
987	11063	134
988	11074	123
989	11085	111
990	11094	100
991	11106	89
992	11118	78
993	11128	67
994	11139	55
995	11149	44
996	11159	33
997	11170	22
998	11180	11
999	11190	0
